date;traffic-source;traffic-details;users;visits;pageviews;bounceRate;pageDepth;avgVisitDurationSeconds
2019-10-02;Internal traffic;;7;8;40;0;5;684,375
2019-10-02;Internal traffic;;4;5;9;0;1,8;29,8
2019-10-02;Direct traffic;;14;14;64;0;4,57142857;560,7142857
2019-10-02;Direct traffic;;3;3;10;0;3,33333333;55,33333333
2019-10-02;Direct traffic;;14;17;70;11,76470588;4,11764706;288,8235294
2019-10-02;Link traffic;adguard.com;1;1;1;100;1;0
2019-10-02;Link traffic;gaidar.ucoz.ru;1;1;2;0;2;24
2019-10-02;Link traffic;portal.petrograd.dev.esbo.adc.vpn;1;1;47;0;47;2021
2019-10-02;Link traffic;spbgaidara.ru;1;1;7;0;7;218
2019-10-02;Link traffic;spblib.ru;2;2;20;0;10;2179,5
2019-10-02;Link traffic;spblib.ru;1;1;1;0;1;15
2019-10-02;Search engine traffic;Yandex;7;7;13;14,28571429;1,85714286;50,42857143
2019-10-02;Search engine traffic;Yandex;3;3;8;0;2,66666667;38,33333333
2019-10-02;Search engine traffic;Yandex;11;12;28;8,33333333;2,33333333;57,66666667
2019-10-02;Search engine traffic;Google;3;3;11;33,33333333;3,66666667;202,6666667
2019-10-02;Search engine traffic;Google;1;1;1;100;1;0
2019-10-02;Search engine traffic;Google;18;20;47;25;2,35;143,9
2019-10-02;Social network traffic;VKontakte;9;9;23;11,11111111;2,55555556;270,1111111
2019-10-02;Social network traffic;VKontakte;3;3;5;0;1,66666667;144
2019-10-02;Social network traffic;VKontakte;32;37;79;13,51351351;2,13513514;222,1891892
2019-10-03;Internal traffic;;6;7;18;14,28571429;2,57142857;178,1428571
2019-10-03;Internal traffic;;3;4;6;25;1,5;25
2019-10-03;Direct traffic;;18;20;97;40;4,85;315,9
2019-10-03;Direct traffic;;2;2;7;0;3,5;439
2019-10-03;Direct traffic;;10;11;28;9,09090909;2,54545455;213
2019-10-03;Link traffic;link.2gis.ru;1;1;1;0;1;23
2019-10-03;Link traffic;spblib.ru;1;1;1;0;1;22
2019-10-03;Search engine traffic;DuckDuckGo;1;1;8;0;8;137
2019-10-03;Search engine traffic;Yandex;5;6;36;0;6;904
2019-10-03;Search engine traffic;Yandex;1;1;8;0;8;899
2019-10-03;Search engine traffic;Yandex;12;13;31;15,38461538;2,38461538;80,07692308
2019-10-03;Search engine traffic;Google;8;10;52;10;5,2;989,9
2019-10-03;Search engine traffic;Google;4;4;5;50;1,25;23
2019-10-03;Search engine traffic;Google;14;15;32;20;2,13333333;187,6666667
2019-10-03;Search engine traffic;Mail.ru;2;2;4;50;2;302,5
2019-10-03;Search engine traffic;Yahoo!;1;1;1;0;1;17
2019-10-03;Social network traffic;VKontakte;12;14;35;28,57142857;2,5;131,5714286
2019-10-03;Social network traffic;VKontakte;6;7;19;14,28571429;2,71428571;243,8571429
2019-10-03;Social network traffic;VKontakte;21;22;58;22,72727273;2,63636364;274
2019-10-04;Internal traffic;;3;3;3;0;1;52,33333333
2019-10-04;Internal traffic;;1;2;2;0;1;16
2019-10-04;Direct traffic;;7;9;12;11,11111111;1,33333333;111,3333333
2019-10-04;Direct traffic;;3;3;3;0;1;17,33333333
2019-10-04;Link traffic;portal.petrograd.dev.esbo.adc.vpn;1;1;2;0;2;7
2019-10-04;Link traffic;spblib.ru;1;2;10;50;5;456
2019-10-04;Search engine traffic;Yandex;3;4;6;25;1,5;39
2019-10-04;Search engine traffic;Yandex;3;3;9;0;3;142
2019-10-04;Search engine traffic;Yandex;13;14;32;14,28571429;2,28571429;75,07142857
2019-10-04;Search engine traffic;Google;5;7;29;0;4,14285714;440
2019-10-04;Search engine traffic;Google;10;12;21;25;1,75;73,5
2019-10-04;Social network traffic;VKontakte;5;5;6;20;1,2;29,6
2019-10-04;Social network traffic;VKontakte;2;3;13;0;4,33333333;319
2019-10-04;Social network traffic;VKontakte;10;13;27;7,69230769;2,07692308;77,69230769
2019-10-05;Internal traffic;;4;4;14;0;3,5;127,5
2019-10-05;Internal traffic;;2;2;2;0;1;14,5
2019-10-05;Direct traffic;;7;7;11;14,28571429;1,57142857;46,85714286
2019-10-05;Direct traffic;;2;3;9;33,33333333;3;175,6666667
2019-10-05;Direct traffic;;5;6;19;16,66666667;3,16666667;409,1666667
2019-10-05;Link traffic;spblib.ru;1;1;1;0;1;16
2019-10-05;Search engine traffic;Yandex;3;3;8;0;2,66666667;309
2019-10-05;Search engine traffic;Yandex;1;1;3;0;3;68
2019-10-05;Search engine traffic;Yandex;6;8;18;12,5;2,25;489
2019-10-05;Search engine traffic;Google;1;1;2;0;2;27
2019-10-05;Search engine traffic;Google;4;4;8;25;2;273,5
2019-10-05;Search engine traffic;Google;4;4;7;0;1,75;39,75
2019-10-05;Search engine traffic;Mail.ru;1;1;1;100;1;0
2019-10-05;Social network traffic;VKontakte;1;1;1;100;1;0
2019-10-05;Social network traffic;VKontakte;2;2;2;100;1;0
2019-10-05;Social network traffic;VKontakte;8;8;20;12,5;2,5;146,375
2019-10-05;Social network traffic;Facebook;1;1;1;100;1;0
2019-10-06;Internal traffic;;1;2;17;0;8,5;2113
2019-10-06;Direct traffic;;2;2;3;0;1,5;53,5
2019-10-06;Direct traffic;;2;2;4;0;2;203
2019-10-06;Direct traffic;;5;5;8;0;1,6;30,6
2019-10-06;Link traffic;spblib.ru;1;2;2;0;1;17,5
2019-10-06;Search engine traffic;Yandex;4;5;21;20;4,2;400,2
2019-10-06;Search engine traffic;Yandex;4;4;10;0;2,5;90,5
2019-10-06;Search engine traffic;Yandex;5;7;18;0;2,57142857;151,5714286
2019-10-06;Search engine traffic;Google;4;4;11;25;2,75;124,5
2019-10-06;Search engine traffic;Google;1;1;4;0;4;123
2019-10-06;Search engine traffic;Google;5;5;11;20;2,2;45,6
2019-10-06;Search engine traffic;Mail.ru;1;2;3;0;1,5;72,5
2019-10-06;Social network traffic;VKontakte;2;2;10;0;5;191
2019-10-06;Social network traffic;VKontakte;1;1;2;0;2;44
2019-10-06;Social network traffic;VKontakte;5;5;9;20;1,8;185
2019-10-07;Internal traffic;;5;5;6;20;1,2;54
2019-10-07;Internal traffic;;1;1;7;0;7;1425
2019-10-07;Internal traffic;;4;5;7;20;1,4;16,8
2019-10-07;Direct traffic;;6;7;20;0;2,85714286;192,7142857
2019-10-07;Direct traffic;;10;13;33;0;2,53846154;312,2307692
2019-10-07;Link traffic;portal.petrograd.dev.esbo.adc.vpn;1;1;2;0;2;25
2019-10-07;Link traffic;spblib.ru;2;2;9;0;4,5;230
2019-10-07;Search engine traffic;Yandex;7;10;131;0;13,1;734
2019-10-07;Search engine traffic;Yandex;5;7;19;42,85714286;2,71428571;41,57142857
2019-10-07;Search engine traffic;Yandex;9;10;25;10;2,5;266,6
2019-10-07;Search engine traffic;Google;6;6;17;0;2,83333333;525,6666667
2019-10-07;Search engine traffic;Google;2;2;4;0;2;54
2019-10-07;Search engine traffic;Google;9;9;16;44,44444444;1,77777778;61,66666667
2019-10-07;Social network traffic;VKontakte;4;5;16;40;3,2;57,6
2019-10-07;Social network traffic;VKontakte;2;4;14;0;3,5;740,5
2019-10-07;Social network traffic;VKontakte;12;13;46;23,07692308;3,53846154;272,3846154
2019-10-08;Internal traffic;;5;8;25;37,5;3,125;804,25
2019-10-08;Internal traffic;;2;5;10;0;2;30,4
2019-10-08;Direct traffic;;9;9;10;22,22222222;1,11111111;22,11111111
2019-10-08;Direct traffic;;4;4;16;0;4;580,5
2019-10-08;Direct traffic;;7;8;17;0;2,125;79
2019-10-08;Link traffic;liblenina.ru;1;1;2;0;2;213
2019-10-08;Link traffic;portal.petrograd.dev.esbo.adc.vpn;1;1;1;0;1;0
2019-10-08;Search engine traffic;Yandex;2;3;22;0;7,33333333;480,6666667
2019-10-08;Search engine traffic;Yandex;1;1;1;0;1;15
2019-10-08;Search engine traffic;Yandex;8;8;13;12,5;1,625;32
2019-10-08;Search engine traffic;Google;1;1;2;0;2;40
2019-10-08;Search engine traffic;Google;2;2;5;0;2,5;42,5
2019-10-08;Search engine traffic;Google;6;6;19;0;3,16666667;106,6666667
2019-10-08;Search engine traffic;Mail.ru;1;2;5;0;2,5;63,5
2019-10-08;Social network traffic;VKontakte;2;5;16;20;3,2;331,4
2019-10-08;Social network traffic;VKontakte;9;14;45;14,28571429;3,21428571;500,8571429
2019-10-09;Internal traffic;;3;4;17;25;4,25;1490,5
2019-10-09;Internal traffic;;1;1;1;0;1;16
2019-10-09;Direct traffic;;4;5;8;0;1,6;44,8
2019-10-09;Direct traffic;;4;7;13;28,57142857;1,85714286;328,5714286
2019-10-09;Direct traffic;;6;8;18;0;2,25;281,625
2019-10-09;Link traffic;gaidar.ucoz.ru;1;1;2;0;2;12
2019-10-09;Link traffic;portal.petrograd.dev.esbo.adc.vpn;1;2;5;0;2,5;721,5
2019-10-09;Link traffic;spblib.ru;1;1;2;0;2;189
2019-10-09;Link traffic;yandex.ru;1;1;2;0;2;17
2019-10-09;Search engine traffic;Yandex;4;4;24;25;6;959
2019-10-09;Search engine traffic;Yandex;2;2;4;0;2;35
2019-10-09;Search engine traffic;Yandex;2;3;6;0;2;135
2019-10-09;Search engine traffic;Google;2;3;7;33,33333333;2,33333333;36,33333333
2019-10-09;Search engine traffic;Google;5;5;12;20;2,4;46,2
2019-10-09;Search engine traffic;Mail.ru;1;1;1;100;1;0
2019-10-09;Social network traffic;VKontakte;5;5;11;40;2,2;58,2
2019-10-09;Social network traffic;VKontakte;2;2;2;50;1;8
2019-10-09;Social network traffic;VKontakte;6;8;23;0;2,875;275,125
2019-10-10;Internal traffic;;1;1;1;0;1;22
2019-10-10;Internal traffic;;4;8;14;0;1,75;31,5
2019-10-10;Direct traffic;;42;43;92;13,95348837;2,13953488;44,41860465
2019-10-10;Direct traffic;;2;2;48;50;24;1975,5
2019-10-10;Direct traffic;;11;12;58;0;4,83333333;265,25
2019-10-10;Link traffic;mail.yandex.ru;1;2;2;0;1;15
2019-10-10;Link traffic;tracker.ak-dev.adc.vpn;1;1;58;0;58;3954
2019-10-10;Search engine traffic;Yandex;1;1;3;0;3;52
2019-10-10;Search engine traffic;Yandex;2;2;2;0;1;16,5
2019-10-10;Search engine traffic;Yandex;6;7;12;28,57142857;1,71428571;33,57142857
2019-10-10;Search engine traffic;Google;4;4;11;25;2,75;40,5
2019-10-10;Search engine traffic;Google;2;2;13;0;6,5;266,5
2019-10-10;Search engine traffic;Google;10;10;30;10;3;187
2019-10-10;Search engine traffic;Mail.ru;1;1;2;0;2;100
